Iteration 0, D_loss = 1.0310,G_loss = 1.2049,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 1, D_loss = 0.9868,G_loss = 1.2390,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 2, D_loss = 0.9892,G_loss = 1.2222,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 3, D_loss = 0.9712,G_loss = 1.2269,train acc = 0.5238, train f1 = 0.5238, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 4, D_loss = 0.9546,G_loss = 1.2317,train acc = 0.5446, train f1 = 0.5446, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 5, D_loss = 0.9620,G_loss = 1.2232,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 6, D_loss = 0.9576,G_loss = 1.2295,train acc = 0.4985, train f1 = 0.4985, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 7, D_loss = 0.9546,G_loss = 1.2350,train acc = 0.5223, train f1 = 0.5223, test acc = 0.6417, test f1 = 0.6417, best acc = 0.6417, best f1 = 0.6417, lr = 0.00020000 
Iteration 8, D_loss = 1.0004,G_loss = 1.1663,train acc = 0.5640, train f1 = 0.5640, test acc = 0.5167, test f1 = 0.5167, best acc = 0.6417, best f1 = 0.6417, lr = 0.00020000 
Iteration 9, D_loss = 0.9667,G_loss = 1.2292,train acc = 0.5208, train f1 = 0.5208, test acc = 0.6750, test f1 = 0.6750, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 10, D_loss = 0.9463,G_loss = 1.2265,train acc = 0.5878, train f1 = 0.5878, test acc = 0.5250, test f1 = 0.5250, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 11, D_loss = 0.9205,G_loss = 1.2295,train acc = 0.6562, train f1 = 0.6562, test acc = 0.6333, test f1 = 0.6333, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 12, D_loss = 0.9116,G_loss = 1.2252,train acc = 0.6696, train f1 = 0.6696, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 13, D_loss = 0.9516,G_loss = 1.2279,train acc = 0.5074, train f1 = 0.5074, test acc = 0.5250, test f1 = 0.5250, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 14, D_loss = 0.9435,G_loss = 1.2260,train acc = 0.5655, train f1 = 0.5655, test acc = 0.6000, test f1 = 0.6000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 15, D_loss = 0.9301,G_loss = 1.2265,train acc = 0.6235, train f1 = 0.6235, test acc = 0.5167, test f1 = 0.5167, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 16, D_loss = 0.9373,G_loss = 1.2245,train acc = 0.6027, train f1 = 0.6027, test acc = 0.5833, test f1 = 0.5833, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 17, D_loss = 0.9141,G_loss = 1.2234,train acc = 0.6562, train f1 = 0.6562, test acc = 0.6667, test f1 = 0.6667, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 18, D_loss = 0.9177,G_loss = 1.2218,train acc = 0.6577, train f1 = 0.6577, test acc = 0.6167, test f1 = 0.6167, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 19, D_loss = 0.9546,G_loss = 1.2340,train acc = 0.5417, train f1 = 0.5417, test acc = 0.5417, test f1 = 0.5417, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 20, D_loss = 0.9675,G_loss = 1.2405,train acc = 0.5119, train f1 = 0.5119, test acc = 0.4833, test f1 = 0.4833, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 21, D_loss = 0.9519,G_loss = 1.2294,train acc = 0.5268, train f1 = 0.5268, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 22, D_loss = 0.9522,G_loss = 1.2271,train acc = 0.5193, train f1 = 0.5193, test acc = 0.5583, test f1 = 0.5583, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 23, D_loss = 0.9495,G_loss = 1.2240,train acc = 0.5506, train f1 = 0.5506, test acc = 0.5167, test f1 = 0.5167, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 24, D_loss = 0.9370,G_loss = 1.2224,train acc = 0.5729, train f1 = 0.5729, test acc = 0.4583, test f1 = 0.4583, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 25, D_loss = 0.9620,G_loss = 1.2287,train acc = 0.4896, train f1 = 0.4896, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 26, D_loss = 0.9417,G_loss = 1.2250,train acc = 0.5714, train f1 = 0.5714, test acc = 0.5750, test f1 = 0.5750, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 27, D_loss = 0.9339,G_loss = 1.2260,train acc = 0.5848, train f1 = 0.5848, test acc = 0.6000, test f1 = 0.6000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 28, D_loss = 0.9439,G_loss = 1.2247,train acc = 0.5759, train f1 = 0.5759, test acc = 0.5167, test f1 = 0.5167, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 29, D_loss = 0.9373,G_loss = 1.2268,train acc = 0.5774, train f1 = 0.5774, test acc = 0.5750, test f1 = 0.5750, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 30, D_loss = 0.9695,G_loss = 1.2218,train acc = 0.5208, train f1 = 0.5208, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 31, D_loss = 0.9794,G_loss = 1.2234,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 32, D_loss = 0.9799,G_loss = 1.2221,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 33, D_loss = 0.9689,G_loss = 1.2236,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 34, D_loss = 0.9549,G_loss = 1.2246,train acc = 0.4836, train f1 = 0.4836, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 35, D_loss = 0.9532,G_loss = 1.2263,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 36, D_loss = 0.9518,G_loss = 1.2297,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 37, D_loss = 0.9548,G_loss = 1.2249,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 38, D_loss = 0.9501,G_loss = 1.2268,train acc = 0.4836, train f1 = 0.4836, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 39, D_loss = 0.9509,G_loss = 1.2270,train acc = 0.5268, train f1 = 0.5268, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 40, D_loss = 0.9528,G_loss = 1.2233,train acc = 0.4717, train f1 = 0.4717, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 41, D_loss = 0.9540,G_loss = 1.2235,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 42, D_loss = 0.9489,G_loss = 1.2294,train acc = 0.5104, train f1 = 0.5104, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 43, D_loss = 0.9526,G_loss = 1.2261,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 44, D_loss = 0.9522,G_loss = 1.2229,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 45, D_loss = 0.9524,G_loss = 1.2254,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 46, D_loss = 0.9525,G_loss = 1.2253,train acc = 0.4777, train f1 = 0.4777, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 47, D_loss = 0.9516,G_loss = 1.2230,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 48, D_loss = 0.9513,G_loss = 1.2250,train acc = 0.4807, train f1 = 0.4807, test acc = 0.4833, test f1 = 0.4833, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 49, D_loss = 0.9512,G_loss = 1.2279,train acc = 0.5074, train f1 = 0.5074, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 50, D_loss = 0.9491,G_loss = 1.2259,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 51, D_loss = 0.9506,G_loss = 1.2227,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 52, D_loss = 0.9501,G_loss = 1.2224,train acc = 0.5119, train f1 = 0.5119, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 53, D_loss = 0.9474,G_loss = 1.2216,train acc = 0.5461, train f1 = 0.5461, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 54, D_loss = 0.9520,G_loss = 1.2260,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 55, D_loss = 0.9501,G_loss = 1.2269,train acc = 0.4777, train f1 = 0.4777, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 56, D_loss = 0.9508,G_loss = 1.2270,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 57, D_loss = 0.9493,G_loss = 1.2298,train acc = 0.5015, train f1 = 0.5015, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 58, D_loss = 0.9512,G_loss = 1.2225,train acc = 0.4807, train f1 = 0.4807, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 59, D_loss = 0.9506,G_loss = 1.2273,train acc = 0.4777, train f1 = 0.4777, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 60, D_loss = 0.9496,G_loss = 1.2255,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 61, D_loss = 0.9512,G_loss = 1.2265,train acc = 0.4658, train f1 = 0.4658, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 62, D_loss = 0.9503,G_loss = 1.2245,train acc = 0.4524, train f1 = 0.4524, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 63, D_loss = 0.9499,G_loss = 1.2250,train acc = 0.5089, train f1 = 0.5089, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 64, D_loss = 0.9511,G_loss = 1.2250,train acc = 0.5045, train f1 = 0.5045, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 65, D_loss = 0.9498,G_loss = 1.2232,train acc = 0.4568, train f1 = 0.4568, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 66, D_loss = 0.9518,G_loss = 1.2253,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 67, D_loss = 0.9506,G_loss = 1.2233,train acc = 0.4955, train f1 = 0.4955, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 68, D_loss = 0.9506,G_loss = 1.2255,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 69, D_loss = 0.9517,G_loss = 1.2245,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 70, D_loss = 0.9504,G_loss = 1.2248,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 71, D_loss = 0.9508,G_loss = 1.2235,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 72, D_loss = 0.9504,G_loss = 1.2232,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 73, D_loss = 0.9508,G_loss = 1.2226,train acc = 0.4658, train f1 = 0.4658, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 74, D_loss = 0.9509,G_loss = 1.2267,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 75, D_loss = 0.9510,G_loss = 1.2229,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 76, D_loss = 0.9499,G_loss = 1.2232,train acc = 0.5045, train f1 = 0.5045, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 77, D_loss = 0.9500,G_loss = 1.2248,train acc = 0.4807, train f1 = 0.4807, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 78, D_loss = 0.9498,G_loss = 1.2236,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 79, D_loss = 0.9516,G_loss = 1.2245,train acc = 0.4643, train f1 = 0.4643, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 80, D_loss = 0.9491,G_loss = 1.2267,train acc = 0.4717, train f1 = 0.4717, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 81, D_loss = 0.9512,G_loss = 1.2261,train acc = 0.4747, train f1 = 0.4747, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 82, D_loss = 0.9498,G_loss = 1.2229,train acc = 0.5149, train f1 = 0.5149, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 83, D_loss = 0.9507,G_loss = 1.2228,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 84, D_loss = 0.9510,G_loss = 1.2257,train acc = 0.5015, train f1 = 0.5015, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 85, D_loss = 1.4119,G_loss = 0.5452,train acc = 0.5149, train f1 = 0.5149, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 86, D_loss = 1.4487,G_loss = 0.5049,train acc = 0.4896, train f1 = 0.4896, test acc = 0.5333, test f1 = 0.5333, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 87, D_loss = 1.4454,G_loss = 0.6139,train acc = 0.4732, train f1 = 0.4732, test acc = 0.4583, test f1 = 0.4583, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 88, D_loss = 1.4535,G_loss = 0.5317,train acc = 0.5074, train f1 = 0.5074, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 89, D_loss = 1.4461,G_loss = 0.4961,train acc = 0.5045, train f1 = 0.5045, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 90, D_loss = 1.4478,G_loss = 0.4943,train acc = 0.4985, train f1 = 0.4985, test acc = 0.4750, test f1 = 0.4750, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 91, D_loss = 1.4448,G_loss = 0.4922,train acc = 0.5015, train f1 = 0.5015, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 92, D_loss = 1.4511,G_loss = 0.4799,train acc = 0.5253, train f1 = 0.5253, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 93, D_loss = 1.0946,G_loss = 1.0371,train acc = 0.4732, train f1 = 0.4732, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 94, D_loss = 0.9548,G_loss = 1.2224,train acc = 0.4688, train f1 = 0.4688, test acc = 0.5250, test f1 = 0.5250, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 95, D_loss = 0.9546,G_loss = 1.2239,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 96, D_loss = 0.9526,G_loss = 1.2240,train acc = 0.4807, train f1 = 0.4807, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 97, D_loss = 0.9536,G_loss = 1.2221,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5250, test f1 = 0.5250, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 98, D_loss = 0.9516,G_loss = 1.2191,train acc = 0.5149, train f1 = 0.5149, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 99, D_loss = 0.9506,G_loss = 1.2247,train acc = 0.4554, train f1 = 0.4554, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 100, D_loss = 0.9506,G_loss = 1.2279,train acc = 0.4762, train f1 = 0.4762, test acc = 0.4750, test f1 = 0.4750, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 101, D_loss = 0.9509,G_loss = 1.2243,train acc = 0.5074, train f1 = 0.5074, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 102, D_loss = 0.9496,G_loss = 1.2260,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 103, D_loss = 0.9509,G_loss = 1.2226,train acc = 0.4896, train f1 = 0.4896, test acc = 0.5250, test f1 = 0.5250, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 104, D_loss = 0.9509,G_loss = 1.2254,train acc = 0.5015, train f1 = 0.5015, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 105, D_loss = 0.9486,G_loss = 1.2270,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 106, D_loss = 0.9512,G_loss = 1.2244,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 107, D_loss = 0.9486,G_loss = 1.2258,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 108, D_loss = 0.9513,G_loss = 1.2258,train acc = 0.4673, train f1 = 0.4673, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 109, D_loss = 0.9501,G_loss = 1.2254,train acc = 0.4762, train f1 = 0.4762, test acc = 0.4833, test f1 = 0.4833, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 110, D_loss = 0.9527,G_loss = 1.2244,train acc = 0.4688, train f1 = 0.4688, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 111, D_loss = 0.9507,G_loss = 1.2228,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5167, test f1 = 0.5167, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 112, D_loss = 0.9495,G_loss = 1.2277,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 113, D_loss = 0.9505,G_loss = 1.2217,train acc = 0.4866, train f1 = 0.4866, test acc = 0.4833, test f1 = 0.4833, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 114, D_loss = 0.9500,G_loss = 1.2248,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 115, D_loss = 0.9507,G_loss = 1.2254,train acc = 0.4688, train f1 = 0.4688, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 116, D_loss = 0.9503,G_loss = 1.2250,train acc = 0.4747, train f1 = 0.4747, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 117, D_loss = 0.9487,G_loss = 1.2229,train acc = 0.4807, train f1 = 0.4807, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 118, D_loss = 0.9507,G_loss = 1.2228,train acc = 0.4568, train f1 = 0.4568, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 119, D_loss = 0.9504,G_loss = 1.2232,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 120, D_loss = 0.9506,G_loss = 1.2233,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 121, D_loss = 0.9498,G_loss = 1.2222,train acc = 0.4926, train f1 = 0.4926, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 122, D_loss = 0.9494,G_loss = 1.2249,train acc = 0.4881, train f1 = 0.4881, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 123, D_loss = 0.9506,G_loss = 1.2236,train acc = 0.4985, train f1 = 0.4985, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
Iteration 124, D_loss = 0.9491,G_loss = 1.2251,train acc = 0.4792, train f1 = 0.4792, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6750, best f1 = 0.6750, lr = 0.00020000 
