Iteration 45, D_loss = 0.0000,G_loss = 19.3600,train acc = 0.8358, test acc = 0.8646,best acc = 0.8715,lr = 0.00020000 
Iteration 46, D_loss = 0.0000,G_loss = 19.4486,train acc = 0.8260, test acc = 0.8194,best acc = 0.8715,lr = 0.00020000 
Iteration 47, D_loss = 0.0000,G_loss = 19.4485,train acc = 0.8376, test acc = 0.8472,best acc = 0.8715,lr = 0.00020000 
Iteration 48, D_loss = 0.0000,G_loss = 19.3666,train acc = 0.8358, test acc = 0.8229,best acc = 0.8715,lr = 0.00020000 
Iteration 49, D_loss = 0.0000,G_loss = 19.7330,train acc = 0.8211, test acc = 0.8576,best acc = 0.8715,lr = 0.00020000 
Iteration 50, D_loss = 0.0000,G_loss = 19.8924,train acc = 0.8370, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 51, D_loss = 0.0000,G_loss = 19.6012,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 52, D_loss = 0.0000,G_loss = 19.3386,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 53, D_loss = 0.0000,G_loss = 19.5917,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 54, D_loss = 0.0000,G_loss = 19.9870,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 55, D_loss = 0.0000,G_loss = 20.2272,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 56, D_loss = 0.0000,G_loss = 20.0969,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 57, D_loss = 0.0000,G_loss = 20.3019,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 58, D_loss = 0.0000,G_loss = 20.5414,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 59, D_loss = 0.0000,G_loss = 20.7419,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 60, D_loss = 0.0000,G_loss = 20.7428,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 61, D_loss = 0.0000,G_loss = 20.6698,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 62, D_loss = 0.0000,G_loss = 20.7350,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 63, D_loss = 0.0000,G_loss = 20.4480,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 64, D_loss = 0.0000,G_loss = 20.3606,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 65, D_loss = 0.0000,G_loss = 20.6788,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 66, D_loss = 0.0000,G_loss = 20.9458,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 67, D_loss = 0.0000,G_loss = 21.1720,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 68, D_loss = 0.0000,G_loss = 21.3743,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 69, D_loss = 0.0000,G_loss = 21.5477,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 70, D_loss = 0.0000,G_loss = 21.4133,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 71, D_loss = 0.0000,G_loss = 21.1861,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 72, D_loss = 0.0000,G_loss = 21.1871,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 73, D_loss = 0.0000,G_loss = 21.3522,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 74, D_loss = 0.0000,G_loss = 21.2917,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 75, D_loss = 0.0000,G_loss = 21.5172,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 76, D_loss = 0.0000,G_loss = 21.7026,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 77, D_loss = 0.0000,G_loss = 21.8775,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 78, D_loss = 0.0000,G_loss = 22.0317,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 79, D_loss = 0.0000,G_loss = 21.8238,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 80, D_loss = 0.0000,G_loss = 21.8520,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 81, D_loss = 0.0000,G_loss = 21.7086,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 82, D_loss = 0.0000,G_loss = 21.9289,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 83, D_loss = 0.0000,G_loss = 21.8116,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 84, D_loss = 0.0000,G_loss = 21.9929,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 85, D_loss = 0.0000,G_loss = 22.2648,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 86, D_loss = 0.0000,G_loss = 21.9309,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 87, D_loss = 0.0000,G_loss = 22.0139,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 88, D_loss = 0.0000,G_loss = 21.8244,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 89, D_loss = 0.0000,G_loss = 21.2519,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 90, D_loss = 0.0000,G_loss = 21.1998,train acc = 0.8039, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 91, D_loss = 0.0000,G_loss = 21.7284,train acc = 0.8241, test acc = 0.8299,best acc = 0.8715,lr = 0.00020000 
Iteration 92, D_loss = 0.0000,G_loss = 21.7960,train acc = 0.8260, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
