Iteration 31, D_loss = 0.0001,G_loss = 19.1234,train acc = 0.8235, train f1 = 0.0144, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 32, D_loss = 0.0001,G_loss = 19.3747,train acc = 0.8235, train f1 = 0.0140, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 33, D_loss = 0.0001,G_loss = 19.1846,train acc = 0.8235, train f1 = 0.0136, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 34, D_loss = 0.0001,G_loss = 18.1662,train acc = 0.8235, train f1 = 0.0132, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 35, D_loss = 0.0001,G_loss = 18.5550,train acc = 0.8235, train f1 = 0.0128, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 36, D_loss = 0.0001,G_loss = 18.4277,train acc = 0.8199, train f1 = 0.0125, test acc = 0.8264, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 37, D_loss = 0.0001,G_loss = 18.4291,train acc = 0.8260, train f1 = 0.0122, test acc = 0.8611, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 38, D_loss = 0.0001,G_loss = 19.7158,train acc = 0.8186, train f1 = 0.0118, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 39, D_loss = 0.0001,G_loss = 19.5685,train acc = 0.8235, train f1 = 0.0115, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 40, D_loss = 0.0000,G_loss = 19.9107,train acc = 0.8235, train f1 = 0.0113, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
